gpkg_standardized,gpkg,gpkg_n_features,gpkg_xmin,gpkg_ymin,gpkg_xmax,gpkg_ymax
gpkg-standardized/EA_2003-07-28.gpkg,gpkg/EA_2003-07-28.gpkg,313,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-08-04.gpkg,gpkg/EA_2003-08-04.gpkg,299,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-08-11.gpkg,gpkg/EA_2003-08-11.gpkg,306,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-08-18.gpkg,gpkg/EA_2003-08-18.gpkg,259,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-08-25.gpkg,gpkg/EA_2003-08-25.gpkg,261,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-09-01.gpkg,gpkg/EA_2003-09-01.gpkg,252,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-09-08.gpkg,gpkg/EA_2003-09-08.gpkg,259,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-09-15.gpkg,gpkg/EA_2003-09-15.gpkg,233,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-09-22.gpkg,gpkg/EA_2003-09-22.gpkg,235,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-09-29.gpkg,gpkg/EA_2003-09-29.gpkg,271,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-10-06.gpkg,gpkg/EA_2003-10-06.gpkg,256,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-10-13.gpkg,gpkg/EA_2003-10-13.gpkg,295,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-10-20.gpkg,gpkg/EA_2003-10-20.gpkg,315,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-10-27.gpkg,gpkg/EA_2003-10-27.gpkg,380,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-11-03.gpkg,gpkg/EA_2003-11-03.gpkg,354,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-11-10.gpkg,gpkg/EA_2003-11-10.gpkg,305,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-11-17.gpkg,gpkg/EA_2003-11-17.gpkg,361,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-11-24.gpkg,gpkg/EA_2003-11-24.gpkg,435,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2003-12-01.gpkg,gpkg/EA_2003-12-01.gpkg,368,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-01-01.gpkg,gpkg/EA_2004-01-01.gpkg,337,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-02-01.gpkg,gpkg/EA_2004-02-01.gpkg,273,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-03-01.gpkg,gpkg/EA_2004-03-01.gpkg,276,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-04-01.gpkg,gpkg/EA_2004-04-01.gpkg,269,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-05-01.gpkg,gpkg/EA_2004-05-01.gpkg,277,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-05-15.gpkg,gpkg/EA_2004-05-15.gpkg,288,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-06-01.gpkg,gpkg/EA_2004-06-01.gpkg,313,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-06-14.gpkg,gpkg/EA_2004-06-14.gpkg,327,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-06-21.gpkg,gpkg/EA_2004-06-21.gpkg,364,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-06-28.gpkg,gpkg/EA_2004-06-28.gpkg,375,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-07-05.gpkg,gpkg/EA_2004-07-05.gpkg,405,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-07-12.gpkg,gpkg/EA_2004-07-12.gpkg,346,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-07-19.gpkg,gpkg/EA_2004-07-19.gpkg,379,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-07-26.gpkg,gpkg/EA_2004-07-26.gpkg,403,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-08-02.gpkg,gpkg/EA_2004-08-02.gpkg,371,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-08-09.gpkg,gpkg/EA_2004-08-09.gpkg,371,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-08-16.gpkg,gpkg/EA_2004-08-16.gpkg,327,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-08-23.gpkg,gpkg/EA_2004-08-23.gpkg,339,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-08-30.gpkg,gpkg/EA_2004-08-30.gpkg,300,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-09-06.gpkg,gpkg/EA_2004-09-06.gpkg,318,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-09-13.gpkg,gpkg/EA_2004-09-13.gpkg,257,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-09-20.gpkg,gpkg/EA_2004-09-20.gpkg,257,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-09-27.gpkg,gpkg/EA_2004-09-27.gpkg,298,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-10-04.gpkg,gpkg/EA_2004-10-04.gpkg,272,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-10-11.gpkg,gpkg/EA_2004-10-11.gpkg,291,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-10-18.gpkg,gpkg/EA_2004-10-18.gpkg,317,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
gpkg-standardized/EA_2004-10-25.gpkg,gpkg/EA_2004-10-25.gpkg,351,-195031.966404621,2723260.83622016,1970740.11899364,5186575.94750484
